Artal,Óbreytt,Breytt
1999,Ampharete acutifrons,Ampharetinae
1999,Bivalvia,NA
2013,Harmothoe,Harmothoe extenuata
2013,Polynoidae,Harmothoe extenuata
2014,Praxillella,Praxillella praetermissa
2014,Syllidae,Syllis cornuta
2015,Syllidae,Syllis cornuta
2015,Mya,Mya arenaria
2015,Mytilidae,Mytilus edulis
2015,Ampharetidae,NA
2016,Aricidea,Amphitrite cirrata
2016,Capitellidae,Capitella capitata
2016,Cirratulidae,Cirratulus cirratus
2016,Cossuridae,Cossura longocirrata
2016,Nephtyidae,Nephthys
2016,Pectinariidae,Pectinaria koreni
2016,Phyllodocida,Phyllodoce maculata
2016,Spio,Spio filicornis
2016,Spionidae,Spio filicornis
2016,Syllidae,Syllis
2016,Cardiidae,Cardium
2016,Cardiidae,Cardium
2017,Mya,Mya arenaria
2017,Maldanidae,Praxillella praetermissa
1999,Ampharetinae,Ampharetidae
2017,Ampharete,Ampharetidae
2017,Ampharete acutifrons,Ampharetidae
2016,Lumbrineridae,Lumbrineris
2015,Pholoe,Pholoe minuta
2016,Pholoe,Pholoe minuta
2017,Pholoe,Pholoe minuta
1999,Musculus discors,Musculus
2014,Mya,Mya arenaria
2014,Mytilus edulis,Mytilidae
2014,Nephtyidae,Nephthys
2014,Amphipoda,Protomedeia fasciata
2014,Tubificidae,Tubificoides kozloffi
2014,Harmothoe,Harmothoe extenuata
2015,Harmothoe,Harmothoe extenuata
2015,Amphipoda,Protomedeia fasciata
2016,Balanus balanus,Balanus
2016,priapulidae,Priapulus caudatus
2016,Priapulidae,Priapulus caudatus
2017,Harmothoe,Harmothoe extenuata
1999,Leucon acutirostris,Cumacea
1999,Eudorella emarginata,Cumacea
