"species","Type","Reitur","km","Fluor","Brennisteinn","Stadur","Mynd","Year","Value","PointType"
"Andreaea rupestris","Mosar","R3",1.4,1,1,"Stekkjarás","7. mynd",2020,10,"Innan þynningarsvæðis flúors"
"Andreaea rupestris","Mosar","R3",1.4,1,1,"Stekkjarás","7. mynd",2023,12,"Innan þynningarsvæðis flúors"
"Racomitrium lanuginosum","Mosar","R3",1.4,1,1,"Stekkjarás","7. mynd",2020,4,"Innan þynningarsvæðis flúors"
"Racomitrium lanuginosum","Mosar","R3",1.4,1,1,"Stekkjarás","7. mynd",2023,5,"Innan þynningarsvæðis flúors"
"Racomitrium sudeticum","Mosar","R3",1.4,1,1,"Stekkjarás","7. mynd",2020,4,"Innan þynningarsvæðis flúors"
"Racomitrium sudeticum","Mosar","R3",1.4,1,1,"Stekkjarás","7. mynd",2023,4,"Innan þynningarsvæðis flúors"
"Mosi","Mosar","R3",1.4,1,1,"Stekkjarás","7. mynd",2023,1,"Innan þynningarsvæðis flúors"
"Cladonia borealis","Blað- og runnfléttur","R3",1.4,1,1,"Stekkjarás","7. mynd",2020,0.5,"Innan þynningarsvæðis flúors"
"Cladonia borealis","Blað- og runnfléttur","R3",1.4,1,1,"Stekkjarás","7. mynd",2023,1,"Innan þynningarsvæðis flúors"
"Sphaerophorus fragilis","Blað- og runnfléttur","R3",1.4,1,1,"Stekkjarás","7. mynd",2020,0.1,"Innan þynningarsvæðis flúors"
"Sphaerophorus fragilis","Blað- og runnfléttur","R3",1.4,1,1,"Stekkjarás","7. mynd",2023,0.5,"Innan þynningarsvæðis flúors"
"Stereocaulon vesuvianum","Blað- og runnfléttur","R3",1.4,1,1,"Stekkjarás","7. mynd",2020,17,"Innan þynningarsvæðis flúors"
"Stereocaulon vesuvianum","Blað- og runnfléttur","R3",1.4,1,1,"Stekkjarás","7. mynd",2023,17,"Innan þynningarsvæðis flúors"
"Umbilicaria torrefacta","Blað- og runnfléttur","R3",1.4,1,1,"Stekkjarás","7. mynd",2020,0.5,"Innan þynningarsvæðis flúors"
"Umbilicaria torrefacta","Blað- og runnfléttur","R3",1.4,1,1,"Stekkjarás","7. mynd",2023,0.1,"Innan þynningarsvæðis flúors"
"Andreaea rupestris","Mosar","R8",1.8,1,1,"Selás","11. mynd",2020,3,"Innan þynningarsvæðis flúors"
"Andreaea rupestris","Mosar","R8",1.8,1,1,"Selás","11. mynd",2023,2,"Innan þynningarsvæðis flúors"
"Grimmia montana","Mosar","R8",1.8,1,1,"Selás","11. mynd",2020,0.5,"Innan þynningarsvæðis flúors"
"Grimmia montana","Mosar","R8",1.8,1,1,"Selás","11. mynd",2023,0.5,"Innan þynningarsvæðis flúors"
"Racomitrium fasciculare","Mosar","R8",1.8,1,1,"Selás","11. mynd",2020,6,"Innan þynningarsvæðis flúors"
"Racomitrium fasciculare","Mosar","R8",1.8,1,1,"Selás","11. mynd",2023,7,"Innan þynningarsvæðis flúors"
"Racomitrium heterostichum","Mosar","R8",1.8,1,1,"Selás","11. mynd",2020,33,"Innan þynningarsvæðis flúors"
"Racomitrium heterostichum","Mosar","R8",1.8,1,1,"Selás","11. mynd",2023,31,"Innan þynningarsvæðis flúors"
"Stereocaulon vesuvianum","Blað- og runnfléttur","R8",1.8,1,1,"Selás","11. mynd",2020,0.5,"Innan þynningarsvæðis flúors"
