Reitur,Fluor,Brennisteinn,Stadur,Mynd
R3,1,1,Stekkjarás,7. mynd
R8,1,1,Selás,11. mynd
R11,1,1,Selás,11. mynd
R12,,,Bjarnarholt,24. mynd
R13,,,Bjarnarholt,24. mynd
R14,,,Bjarnarholt,24. mynd
R16,,,Tíðaskarð,31. mynd
R17,,,Tíðaskarð,31. mynd
R18,,,Tíðaskarð,31. mynd
R19,,,Ofan Hvalfjarðareyrar,28. mynd
R20,,,Ofan Hvalfjarðareyrar,28. mynd
R21,,,Hvalfjarðarbotn,36. mynd
R22,,,Hvalfjarðarbotn,36. mynd
R23,,,Hvalfjarðarbotn,36. mynd
R24,,,Skvöp,15. mynd
R25,,,Skvöp,15. mynd
R26,,,Skvöp,15. mynd
R27,,1,Langholt,12. mynd
R30,,,Álfholt,26. mynd
R31,,,Álfholt,26. mynd
R32,,,Álfholt,26. mynd
R33,1,1,Stekkjarás,7. mynd
R34,1,1,Stekkjarás,7. mynd
R35,1,1,Stekkjarás,7. mynd
R36,,,Kalmansá,20. mynd
R37,,,Kalmansá,20. mynd
R38,,,Kalmansá,20. mynd
R39,,,Beitistaðaholt,27. mynd
R40,,,Beitistaðaholt,27. mynd
R41,,,Beitistaðaholt,27. mynd
R42,,,Hafnarbæli,34. mynd
R43,,,Hafnarbæli,34. mynd
R44,,,Hafnarbæli,34. mynd
R45,,,Þyrilsnes,35. mynd
R46,,,Þyrilsnes,35. mynd
R47,,,Þyrilsnes,35. mynd
R48,,,Hvammsnes,29. mynd
R49,,,Hvammsnes,29. mynd
R50,,,Hvammsnes,29. mynd
R51,,,Ofan Hvalfjarðareyrar,28. mynd
R52,,,Ofan Hvalfjarðareyrar,28. mynd
R56,,1,Akrafjall,13. mynd
R60,,1,Akrafjall,13. mynd
R63,,,Kalastaðakot,21. mynd
R64,,,Kalastaðakot,21. mynd
R65,,,Kalastaðakot,21. mynd
R66,,,Miðfellsmúli,22. mynd
R67,,,Miðfellsmúli,22. mynd
R68,,,Miðfellsmúli,22. mynd
R69,,,Gimbrapallar,32. mynd
R70,,,Gimbrapallar,32. mynd
R71,,,Gimbrapallar,32. mynd
R72,,,Ofan við Gröf,16. mynd
R73,,,Ofan við Gröf,16. mynd
R74,,,Ofan við Gröf,16. mynd
R75,,,Neðristallar,18. mynd
R76,,,Neðristallar,18. mynd
R77,,,Neðristallar,18. mynd
