"species","Type","Reitur","km","Fluor","Brennisteinn","2020","2023","CoverageChange","Stadur","Mynd"
"Andreaea rupestris","Mosar","R3",1.4,1,1,10,12,2,"Stekkjarás","7. mynd"
"Racomitrium fasciculare","Mosar","R3",1.4,1,1,NA,NA,NA,"Stekkjarás","7. mynd"
"Racomitrium lanuginosum","Mosar","R3",1.4,1,1,4,5,1,"Stekkjarás","7. mynd"
"Racomitrium sudeticum","Mosar","R3",1.4,1,1,4,4,0,"Stekkjarás","7. mynd"
"Mosi","Mosar","R3",1.4,1,1,NA,1,NA,"Stekkjarás","7. mynd"
"Cladonia borealis","Blað- og runnfléttur","R3",1.4,1,1,0.5,1,0.5,"Stekkjarás","7. mynd"
"Sphaerophorus fragilis","Blað- og runnfléttur","R3",1.4,1,1,0.1,0.5,0.4,"Stekkjarás","7. mynd"
"Stereocaulon vesuvianum","Blað- og runnfléttur","R3",1.4,1,1,17,17,0,"Stekkjarás","7. mynd"
"Umbilicaria torrefacta","Blað- og runnfléttur","R3",1.4,1,1,0.5,0.1,-0.4,"Stekkjarás","7. mynd"
"Amygdalaria pelobotryon","Hrúðurfléttur","R3",1.4,1,1,NA,NA,NA,"Stekkjarás","7. mynd"
"Aspicilia cinerea safnteg.","Hrúðurfléttur","R3",1.4,1,1,NA,NA,NA,"Stekkjarás","7. mynd"
"Bellemerea subsorediza","Hrúðurfléttur","R3",1.4,1,1,NA,NA,NA,"Stekkjarás","7. mynd"
"Calvitimela aglaea","Hrúðurfléttur","R3",1.4,1,1,1,1,0,"Stekkjarás","7. mynd"
"Catillaria contristans","Hrúðurfléttur","R3",1.4,1,1,1,3,2,"Stekkjarás","7. mynd"
"Immersaria athroocarpa","Hrúðurfléttur","R3",1.4,1,1,1,NA,NA,"Stekkjarás","7. mynd"
"Lecanora intricata","Hrúðurfléttur","R3",1.4,1,1,1,0.5,-0.5,"Stekkjarás","7. mynd"
"Lecanora polytropa","Hrúðurfléttur","R3",1.4,1,1,3,0.5,-2.5,"Stekkjarás","7. mynd"
"Lecanora sp.","Hrúðurfléttur","R3",1.4,1,1,NA,3,NA,"Stekkjarás","7. mynd"
"Lecidea lapicida","Hrúðurfléttur","R3",1.4,1,1,2,2,0,"Stekkjarás","7. mynd"
"Lecidea praenubila","Hrúðurfléttur","R3",1.4,1,1,3,2,-1,"Stekkjarás","7. mynd"
"Lecidea tesselata","Hrúðurfléttur","R3",1.4,1,1,NA,2,NA,"Stekkjarás","7. mynd"
"Lepra corallina","Hrúðurfléttur","R3",1.4,1,1,3,2,-1,"Stekkjarás","7. mynd"
"Pertusaria aspergilla","Hrúðurfléttur","R3",1.4,1,1,NA,NA,NA,"Stekkjarás","7. mynd"
"Placopsis gelida","Hrúðurfléttur","R3",1.4,1,1,NA,NA,NA,"Stekkjarás","7. mynd"
"Porpidia melinodes","Hrúðurfléttur","R3",1.4,1,1,NA,NA,NA,"Stekkjarás","7. mynd"
"Protoparmelia badia","Hrúðurfléttur","R3",1.4,1,1,NA,NA,NA,"Stekkjarás","7. mynd"
"Rhizocarpon geographicum","Hrúðurfléttur","R3",1.4,1,1,12,9,-3,"Stekkjarás","7. mynd"
"Tephromela atra","Hrúðurfléttur","R3",1.4,1,1,1,0.5,-0.5,"Stekkjarás","7. mynd"
"Tremolecia atrata","Hrúðurfléttur","R3",1.4,1,1,0.01,NA,NA,"Stekkjarás","7. mynd"
"Varicellaria lactea","Hrúðurfléttur","R3",1.4,1,1,2,2,0,"Stekkjarás","7. mynd"
"Svart hrúður","Hrúðurfléttur","R3",1.4,1,1,10,8,-2,"Stekkjarás","7. mynd"
"Óaðgreindar tegundir","Hrúðurfléttur","R3",1.4,1,1,10,13,3,"Stekkjarás","7. mynd"
"Ber klöpp","Hrúðurfléttur","R3",1.4,1,1,5,0.5,-4.5,"Stekkjarás","7. mynd"
"Andreaea rupestris","Mosar","R8",1.8,1,1,3,2,-1,"Selás","11. mynd"
