"species","Type","Reitur","Year","Coverage"
"Andreaea rupestris","Mosar","R3","2020",10
"Andreaea rupestris","Mosar","R3","2023",12
"Andreaea rupestris","Mosar","R3","1976",10
"Andreaea rupestris","Mosar","R3","1997",10
"Andreaea rupestris","Mosar","R3","2006",10
"Andreaea rupestris","Mosar","R3","2011",9
"Andreaea rupestris","Mosar","R3","2014",8
"Andreaea rupestris","Mosar","R3","2017",10
"Racomitrium fasciculare","Mosar","R3","1976",1
"Racomitrium fasciculare","Mosar","R3","1997",1
"Racomitrium fasciculare","Mosar","R3","2011",0.5
"Racomitrium lanuginosum","Mosar","R3","2020",4
"Racomitrium lanuginosum","Mosar","R3","2023",5
"Racomitrium lanuginosum","Mosar","R3","1976",1
"Racomitrium lanuginosum","Mosar","R3","1997",1
"Racomitrium lanuginosum","Mosar","R3","2006",1
"Racomitrium lanuginosum","Mosar","R3","2011",1
"Racomitrium lanuginosum","Mosar","R3","2014",2
"Racomitrium lanuginosum","Mosar","R3","2017",2
"Racomitrium sudeticum","Mosar","R3","2020",4
"Racomitrium sudeticum","Mosar","R3","2023",4
"Racomitrium sudeticum","Mosar","R3","1976",0.5
"Racomitrium sudeticum","Mosar","R3","1997",1
"Racomitrium sudeticum","Mosar","R3","2006",2
"Racomitrium sudeticum","Mosar","R3","2011",3
"Racomitrium sudeticum","Mosar","R3","2014",1
"Racomitrium sudeticum","Mosar","R3","2017",3
"Mosi","Mosar","R3","2023",1
"Cladonia borealis","Blað- og runnfléttur","R3","2020",0.5
"Cladonia borealis","Blað- og runnfléttur","R3","2023",1
"Cladonia borealis","Blað- og runnfléttur","R3","2006",0.5
"Cladonia borealis","Blað- og runnfléttur","R3","2011",0.5
"Cladonia borealis","Blað- og runnfléttur","R3","2014",0.5
"Cladonia borealis","Blað- og runnfléttur","R3","2017",0.5
"Sphaerophorus fragilis","Blað- og runnfléttur","R3","2020",0.1
"Sphaerophorus fragilis","Blað- og runnfléttur","R3","2023",0.5
"Sphaerophorus fragilis","Blað- og runnfléttur","R3","1997",0.5
"Sphaerophorus fragilis","Blað- og runnfléttur","R3","2006",0.5
"Sphaerophorus fragilis","Blað- og runnfléttur","R3","2017",0.5
"Stereocaulon vesuvianum","Blað- og runnfléttur","R3","2020",17
"Stereocaulon vesuvianum","Blað- og runnfléttur","R3","2023",17
"Stereocaulon vesuvianum","Blað- og runnfléttur","R3","1976",22
"Stereocaulon vesuvianum","Blað- og runnfléttur","R3","1997",20
"Stereocaulon vesuvianum","Blað- og runnfléttur","R3","2006",22
"Stereocaulon vesuvianum","Blað- og runnfléttur","R3","2011",17
"Stereocaulon vesuvianum","Blað- og runnfléttur","R3","2014",15
"Stereocaulon vesuvianum","Blað- og runnfléttur","R3","2017",25
"Umbilicaria torrefacta","Blað- og runnfléttur","R3","2020",0.5
"Umbilicaria torrefacta","Blað- og runnfléttur","R3","2023",0.1
"Umbilicaria torrefacta","Blað- og runnfléttur","R3","1976",1
"Umbilicaria torrefacta","Blað- og runnfléttur","R3","1997",0.5
"Umbilicaria torrefacta","Blað- og runnfléttur","R3","2006",0.5
"Umbilicaria torrefacta","Blað- og runnfléttur","R3","2011",0.5
"Umbilicaria torrefacta","Blað- og runnfléttur","R3","2014",0.5
"Umbilicaria torrefacta","Blað- og runnfléttur","R3","2017",0.5
"Amygdalaria pelobotryon","Hrúðurfléttur","R3","1976",0.5
"Aspicilia cinerea safnteg.","Hrúðurfléttur","R3","1997",1
"Aspicilia cinerea safnteg.","Hrúðurfléttur","R3","2006",2
"Bellemerea subsorediza","Hrúðurfléttur","R3","1997",0.5
"Bellemerea subsorediza","Hrúðurfléttur","R3","2006",0.5
"Calvitimela aglaea","Hrúðurfléttur","R3","2020",1
"Calvitimela aglaea","Hrúðurfléttur","R3","2023",1
"Calvitimela aglaea","Hrúðurfléttur","R3","1976",0.5
"Calvitimela aglaea","Hrúðurfléttur","R3","1997",1
"Calvitimela aglaea","Hrúðurfléttur","R3","2006",1
"Calvitimela aglaea","Hrúðurfléttur","R3","2011",1
"Calvitimela aglaea","Hrúðurfléttur","R3","2014",1
"Calvitimela aglaea","Hrúðurfléttur","R3","2017",1
"Catillaria contristans","Hrúðurfléttur","R3","2020",1
"Catillaria contristans","Hrúðurfléttur","R3","2023",3
"Catillaria contristans","Hrúðurfléttur","R3","1976",0.5
"Catillaria contristans","Hrúðurfléttur","R3","1997",0.5
