"species","Type","Reitur","1976","1997","2006","2011","2014","2017","2020","2023","1999"
"Andreaea rupestris","Mosar","R1",17,14,10,7,NA,NA,NA,NA,NA
"Racomitrium sudeticum","Mosar","R1",2,2,1,1,NA,NA,NA,NA,NA
"Schistidiumstrictum?","Mosar","R1",0.5,NA,NA,NA,NA,NA,NA,NA,NA
"Cladonia borealis","Blað- og runnfléttur","R1",0.5,0.5,0.5,1,NA,NA,NA,NA,NA
"Parmelia saxatilis","Blað- og runnfléttur","R1",3,10,14,19,NA,NA,NA,NA,NA
"Sphaerophorus fragilis","Blað- og runnfléttur","R1",NA,0.5,0.5,NA,NA,NA,NA,NA,NA
"Stereocaulon vesuvianum","Blað- og runnfléttur","R1",0.5,0.5,2,1,NA,NA,NA,NA,NA
"Aspicilia cinerea safnteg.","Hrúðurfléttur","R1",4,7,1,1,NA,NA,NA,NA,NA
"Bellemerea subsorediza","Hrúðurfléttur","R1",1,0.5,1,NA,NA,NA,NA,NA,NA
"Bryonora castanea","Hrúðurfléttur","R1",0.5,NA,0.5,0.5,NA,NA,NA,NA,NA
"Caloplaca cerina","Hrúðurfléttur","R1",0.5,0.5,1,0.5,NA,NA,NA,NA,NA
"Calvitimela aglaea","Hrúðurfléttur","R1",0.5,0.5,1,0.5,NA,NA,NA,NA,NA
"Candelariella vitellina","Hrúðurfléttur","R1",NA,0.5,0.05,NA,NA,NA,NA,NA,NA
"Catillaria contristans","Hrúðurfléttur","R1",0.5,2,1,0.5,NA,NA,NA,NA,NA
"Lecanora intricata","Hrúðurfléttur","R1",NA,0.5,0.5,1,NA,NA,NA,NA,NA
"Lecanora polytropa","Hrúðurfléttur","R1",0.5,0.5,0.5,0.5,NA,NA,NA,NA,NA
"Lepra corallina","Hrúðurfléttur","R1",13,8,NA,NA,NA,NA,NA,NA,NA
"Lepraria neglecta","Hrúðurfléttur","R1",0.5,1,2,0.5,NA,NA,NA,NA,NA
"Myriospora smaragdula  cf","Hrúðurfléttur","R1",NA,NA,0.05,NA,NA,NA,NA,NA,NA
"Pertusaria aspergilla","Hrúðurfléttur","R1",17,20,13,14,NA,NA,NA,NA,NA
"Porpidia melinodes","Hrúðurfléttur","R1",3,4,3,2,NA,NA,NA,NA,NA
"Porpidia tuberculosa","Hrúðurfléttur","R1",6,8,5,7,NA,NA,NA,NA,NA
"Rhizocarpon geographicum","Hrúðurfléttur","R1",1,1,1,1,NA,NA,NA,NA,NA
"Rhizocarpon grá","Hrúðurfléttur","R1",NA,NA,0.5,0.5,NA,NA,NA,NA,NA
"Tephromela atra","Hrúðurfléttur","R1",0.5,NA,NA,NA,NA,NA,NA,NA,NA
"Óaðgreindar tegundir","Hrúðurfléttur","R1",7,0.5,NA,5,NA,NA,NA,NA,NA
"Ber klöpp","Hrúðurfléttur","R1",NA,NA,NA,2,NA,NA,NA,NA,NA
"Andreaea rupestris","Mosar","R2",1,1,1,1,NA,NA,NA,NA,NA
"Aspicilia cinerea safnteg.","Hrúðurfléttur","R2",27,19,15,12,NA,NA,NA,NA,NA
"Bellemerea subsorediza","Hrúðurfléttur","R2",1,0.5,2,NA,NA,NA,NA,NA,NA
"Calvitimela aglaea","Hrúðurfléttur","R2",NA,NA,0.5,0.5,NA,NA,NA,NA,NA
"Lecanora intricata","Hrúðurfléttur","R2",0.5,0.5,0.5,0.5,NA,NA,NA,NA,NA
"Lecanora marginata","Hrúðurfléttur","R2",1,0.5,0.5,NA,NA,NA,NA,NA,NA
"Lecanora polytropa","Hrúðurfléttur","R2",0.5,0.5,0.5,0.5,NA,NA,NA,NA,NA
"Lecidea atrobrunnea/praenubila","Hrúðurfléttur","R2",NA,NA,1,0.5,NA,NA,NA,NA,NA
"(Lecidea praenubila) Immersia athroocarpa, 2006","Hrúðurfléttur","R2",NA,1,2,3,NA,NA,NA,NA,NA
"Lecidea sp.","Hrúðurfléttur","R2",NA,NA,2,NA,NA,NA,NA,NA,NA
"Pertusaria aspergilla","Hrúðurfléttur","R2",1,3,2,2,NA,NA,NA,NA,NA
"Placopsis gelida","Hrúðurfléttur","R2",0.5,0.5,0.5,NA,NA,NA,NA,NA,NA
"Porpidia melinodes","Hrúðurfléttur","R2",1,5,NA,NA,NA,NA,NA,NA,NA
"Porpidia tuberculosa","Hrúðurfléttur","R2",5,2,3,3,NA,NA,NA,NA,NA
"Protoparmelia badia","Hrúðurfléttur","R2",NA,0.5,NA,NA,NA,NA,NA,NA,NA
"Rhizocarpon geographicum","Hrúðurfléttur","R2",1,1,2,1.5,NA,NA,NA,NA,NA
"Rhizocarpon sp.","Hrúðurfléttur","R2",NA,NA,NA,0.5,NA,NA,NA,NA,NA
"Tephromela atra","Hrúðurfléttur","R2",2,1,0.5,NA,NA,NA,NA,NA,NA
"Tremolecia atrata","Hrúðurfléttur","R2",NA,NA,0.5,NA,NA,NA,NA,NA,NA
"Óaðgreindar tegundir","Hrúðurfléttur","R2",NA,NA,NA,10,NA,NA,NA,NA,NA
"Ber klöpp","Hrúðurfléttur","R2",NA,NA,NA,5,NA,NA,NA,NA,NA
"Andreaea rupestris","Mosar","R3",10,10,10,9,8,10,10,12,NA
"Racomitrium fasciculare","Mosar","R3",1,1,NA,0.5,NA,NA,NA,NA,NA
"Racomitrium lanuginosum","Mosar","R3",1,1,1,1,2,2,4,5,NA
"Racomitrium sudeticum","Mosar","R3",0.5,1,2,3,1,3,4,4,NA
"Mosi","Mosar","R3",NA,NA,NA,NA,NA,NA,NA,1,NA
"Cladonia borealis","Blað- og runnfléttur","R3",NA,NA,0.5,0.5,0.5,0.5,0.5,1,NA
"Sphaerophorus fragilis","Blað- og runnfléttur","R3",NA,0.5,0.5,NA,NA,0.5,0.1,0.5,NA
"Stereocaulon vesuvianum","Blað- og runnfléttur","R3",22,20,22,17,15,25,17,17,NA
"Umbilicaria torrefacta","Blað- og runnfléttur","R3",1,0.5,0.5,0.5,0.5,0.5,0.5,0.1,NA
"Amygdalaria pelobotryon","Hrúðurfléttur","R3",0.5,NA,NA,NA,NA,NA,NA,NA,NA
"Aspicilia cinerea safnteg.","Hrúðurfléttur","R3",NA,1,2,NA,NA,NA,NA,NA,NA
"Bellemerea subsorediza","Hrúðurfléttur","R3",NA,0.5,0.5,NA,NA,NA,NA,NA,NA
"Calvitimela aglaea","Hrúðurfléttur","R3",0.5,1,1,1,1,1,1,1,NA
"Catillaria contristans","Hrúðurfléttur","R3",0.5,0.5,0.5,3,2,1,1,3,NA
"Immersaria athroocarpa","Hrúðurfléttur","R3",NA,2,4,4,1,NA,1,NA,NA
"Lecanora intricata","Hrúðurfléttur","R3",0.5,NA,0.5,0.5,1,NA,1,0.5,NA
"Lecanora polytropa","Hrúðurfléttur","R3",1.5,1,1.5,5,3,2,3,0.5,NA
"Lecanora sp.","Hrúðurfléttur","R3",NA,NA,NA,NA,NA,NA,NA,3,NA
"Lecidea lapicida","Hrúðurfléttur","R3",NA,1,2,1,0.5,NA,2,2,NA
"Lecidea praenubila","Hrúðurfléttur","R3",1,0.5,NA,1,0.5,3,3,2,NA
"Lecidea tesselata","Hrúðurfléttur","R3",5,3,NA,2,2,2,NA,2,NA
"Lepra corallina","Hrúðurfléttur","R3",1,1,1.5,2,2,3,3,2,NA
"Pertusaria aspergilla","Hrúðurfléttur","R3",NA,1,NA,NA,NA,NA,NA,NA,NA
"Placopsis gelida","Hrúðurfléttur","R3",NA,NA,0.5,1,NA,NA,NA,NA,NA
"Porpidia melinodes","Hrúðurfléttur","R3",0.5,0.5,NA,NA,NA,NA,NA,NA,NA
"Protoparmelia badia","Hrúðurfléttur","R3",NA,NA,0.5,NA,NA,NA,NA,NA,NA
"Rhizocarpon geographicum","Hrúðurfléttur","R3",7,7,5,9,5,8,12,9,NA
"Tephromela atra","Hrúðurfléttur","R3",0.5,NA,0.5,1,0.5,1,1,0.5,NA
"Tremolecia atrata","Hrúðurfléttur","R3",0.5,0.5,0.5,NA,NA,NA,0.01,NA,NA
