Reitur,km
R1,1.4
R2,1.4
R3,1.4
R4,1.5
R33,1.4
R34,1.5
R35,1.5
R8,1.8
R9,1.8
R10,1.8
R11,1.9
R12,2
R13,2
R14,2
R15,2
R16,8.7
R17,8.7
R18,8.7
R19,3.9
R20,3.9
R51,3.9
R52,3.9
R21,20.9
R22,20.9
R23,20.9
R25,6.9
R26,6.9
R24,6.9
R27,2.7
R28,2.7
R29,2.7
R30,3.2
R31,3.2
R32,3.2
R36,3
R37,3
R38,3
R39,5.7
R40,5.7
R41,5.7
R42,16.1
R43,16.1
R44,16.1
R45,17.3
R46,17.3
R47,17.3
R48,8.1
R49,8.1
R50,8.1
R53,1.9
R54,1.9
R55,1.9
R56,2.3
R57,2.3
R58,2.2
R59,2.2
R60,2.4
R61,2.4
R62,2.4
R63,3.2
R64,3.2
R65,3.2
R66,5
R67,5
R68,5
R69,5
R70,5
R71,5
R72,4
R73,4
R74,4
R75,7.4
R76,7.4
R77,7.4
