"species","Type","Reitur","Year","Coverage"
"Andreaea rupestris","Mosar","R1","2014",0.5
"Andreaea rupestris","Mosar","R1","2017",0.5
"Andreaea rupestris","Mosar","R1","2020",0.5
"Andreaea rupestris","Mosar","R1","2023",0.5
"Racomitrium sudeticum","Mosar","R1","2014",0.5
"Racomitrium sudeticum","Mosar","R1","2017",0.5
"Racomitrium sudeticum","Mosar","R1","2020",0.5
"Racomitrium sudeticum","Mosar","R1","2023",0.5
"Schistidiumstrictum?","Mosar","R1","2014",0.5
"Schistidiumstrictum?","Mosar","R1","2017",0.5
"Schistidiumstrictum?","Mosar","R1","2020",0.5
"Schistidiumstrictum?","Mosar","R1","2023",0.5
"Cladonia borealis","Blað- og runnfléttur","R1","2014",0.5
"Cladonia borealis","Blað- og runnfléttur","R1","2017",0.5
"Cladonia borealis","Blað- og runnfléttur","R1","2020",0.5
"Cladonia borealis","Blað- og runnfléttur","R1","2023",0.5
"Parmelia saxatilis","Blað- og runnfléttur","R1","2014",0.5
"Parmelia saxatilis","Blað- og runnfléttur","R1","2017",0.5
"Parmelia saxatilis","Blað- og runnfléttur","R1","2020",0.5
"Parmelia saxatilis","Blað- og runnfléttur","R1","2023",0.5
"Sphaerophorus fragilis","Blað- og runnfléttur","R1","2014",0.5
"Sphaerophorus fragilis","Blað- og runnfléttur","R1","2017",0.5
"Sphaerophorus fragilis","Blað- og runnfléttur","R1","2020",0.5
"Sphaerophorus fragilis","Blað- og runnfléttur","R1","2023",0.5
"Stereocaulon vesuvianum","Blað- og runnfléttur","R1","2014",0.5
"Stereocaulon vesuvianum","Blað- og runnfléttur","R1","2017",0.5
"Stereocaulon vesuvianum","Blað- og runnfléttur","R1","2020",0.5
"Stereocaulon vesuvianum","Blað- og runnfléttur","R1","2023",0.5
"Aspicilia cinerea safnteg.","Hrúðurfléttur","R1","2014",0.5
"Aspicilia cinerea safnteg.","Hrúðurfléttur","R1","2017",0.5
"Aspicilia cinerea safnteg.","Hrúðurfléttur","R1","2020",0.5
"Aspicilia cinerea safnteg.","Hrúðurfléttur","R1","2023",0.5
"Bellemerea subsorediza","Hrúðurfléttur","R1","2014",0.5
"Bellemerea subsorediza","Hrúðurfléttur","R1","2017",0.5
"Bellemerea subsorediza","Hrúðurfléttur","R1","2020",0.5
"Bellemerea subsorediza","Hrúðurfléttur","R1","2023",0.5
"Bryonora castanea","Hrúðurfléttur","R1","2014",0.5
"Bryonora castanea","Hrúðurfléttur","R1","2017",0.5
"Bryonora castanea","Hrúðurfléttur","R1","2020",0.5
"Bryonora castanea","Hrúðurfléttur","R1","2023",0.5
"Caloplaca cerina","Hrúðurfléttur","R1","2014",0.5
"Caloplaca cerina","Hrúðurfléttur","R1","2017",0.5
"Caloplaca cerina","Hrúðurfléttur","R1","2020",0.5
"Caloplaca cerina","Hrúðurfléttur","R1","2023",0.5
"Calvitimela aglaea","Hrúðurfléttur","R1","2014",0.5
"Calvitimela aglaea","Hrúðurfléttur","R1","2017",0.5
"Calvitimela aglaea","Hrúðurfléttur","R1","2020",0.5
"Calvitimela aglaea","Hrúðurfléttur","R1","2023",0.5
"Candelariella vitellina","Hrúðurfléttur","R1","2014",0.5
"Candelariella vitellina","Hrúðurfléttur","R1","2017",0.5
"Candelariella vitellina","Hrúðurfléttur","R1","2020",0.5
"Candelariella vitellina","Hrúðurfléttur","R1","2023",0.5
"Catillaria contristans","Hrúðurfléttur","R1","2014",0.5
"Catillaria contristans","Hrúðurfléttur","R1","2017",0.5
"Catillaria contristans","Hrúðurfléttur","R1","2020",0.5
"Catillaria contristans","Hrúðurfléttur","R1","2023",0.5
"Lecanora intricata","Hrúðurfléttur","R1","2014",0.5
"Lecanora intricata","Hrúðurfléttur","R1","2017",0.5
"Lecanora intricata","Hrúðurfléttur","R1","2020",0.5
"Lecanora intricata","Hrúðurfléttur","R1","2023",0.5
"Lecanora polytropa","Hrúðurfléttur","R1","2014",0.5
"Lecanora polytropa","Hrúðurfléttur","R1","2017",0.5
"Lecanora polytropa","Hrúðurfléttur","R1","2020",0.5
"Lecanora polytropa","Hrúðurfléttur","R1","2023",0.5
"Lepra corallina","Hrúðurfléttur","R1","2014",0.5
"Lepra corallina","Hrúðurfléttur","R1","2017",0.5
"Lepra corallina","Hrúðurfléttur","R1","2020",0.5
"Lepra corallina","Hrúðurfléttur","R1","2023",0.5
"Lepraria neglecta","Hrúðurfléttur","R1","2014",0.5
"Lepraria neglecta","Hrúðurfléttur","R1","2017",0.5
"Lepraria neglecta","Hrúðurfléttur","R1","2020",0.5
"Lepraria neglecta","Hrúðurfléttur","R1","2023",0.5
"Myriospora smaragdula  cf","Hrúðurfléttur","R1","2014",0.5
"Myriospora smaragdula  cf","Hrúðurfléttur","R1","2017",0.5
"Myriospora smaragdula  cf","Hrúðurfléttur","R1","2020",0.5
"Myriospora smaragdula  cf","Hrúðurfléttur","R1","2023",0.5
"Pertusaria aspergilla","Hrúðurfléttur","R1","2014",0.5
"Pertusaria aspergilla","Hrúðurfléttur","R1","2017",0.5
"Pertusaria aspergilla","Hrúðurfléttur","R1","2020",0.5
"Pertusaria aspergilla","Hrúðurfléttur","R1","2023",0.5
"Porpidia melinodes","Hrúðurfléttur","R1","2014",0.5
"Porpidia melinodes","Hrúðurfléttur","R1","2017",0.5
"Porpidia melinodes","Hrúðurfléttur","R1","2020",0.5
"Porpidia melinodes","Hrúðurfléttur","R1","2023",0.5
"Porpidia tuberculosa","Hrúðurfléttur","R1","2014",0.5
"Porpidia tuberculosa","Hrúðurfléttur","R1","2017",0.5
"Porpidia tuberculosa","Hrúðurfléttur","R1","2020",0.5
"Porpidia tuberculosa","Hrúðurfléttur","R1","2023",0.5
"Rhizocarpon geographicum","Hrúðurfléttur","R1","2014",0.5
"Rhizocarpon geographicum","Hrúðurfléttur","R1","2017",0.5
"Rhizocarpon geographicum","Hrúðurfléttur","R1","2020",0.5
"Rhizocarpon geographicum","Hrúðurfléttur","R1","2023",0.5
"Rhizocarpon grá","Hrúðurfléttur","R1","2014",0.5
"Rhizocarpon grá","Hrúðurfléttur","R1","2017",0.5
"Rhizocarpon grá","Hrúðurfléttur","R1","2020",0.5
"Rhizocarpon grá","Hrúðurfléttur","R1","2023",0.5
"Tephromela atra","Hrúðurfléttur","R1","2014",0.5
"Tephromela atra","Hrúðurfléttur","R1","2017",0.5
"Tephromela atra","Hrúðurfléttur","R1","2020",0.5
"Tephromela atra","Hrúðurfléttur","R1","2023",0.5
"Óaðgreindar tegundir","Hrúðurfléttur","R1","2014",0.5
"Óaðgreindar tegundir","Hrúðurfléttur","R1","2017",0.5
"Óaðgreindar tegundir","Hrúðurfléttur","R1","2020",0.5
"Óaðgreindar tegundir","Hrúðurfléttur","R1","2023",0.5
"Ber klöpp","Hrúðurfléttur","R1","2014",0.5
"Ber klöpp","Hrúðurfléttur","R1","2017",0.5
"Ber klöpp","Hrúðurfléttur","R1","2020",0.5
"Ber klöpp","Hrúðurfléttur","R1","2023",0.5
"Andreaea rupestris","Mosar","R2","2014",0.5
"Andreaea rupestris","Mosar","R2","2017",0.5
"Andreaea rupestris","Mosar","R2","2020",0.5
"Andreaea rupestris","Mosar","R2","2023",0.5
"Aspicilia cinerea safnteg.","Hrúðurfléttur","R2","2014",0.5
"Aspicilia cinerea safnteg.","Hrúðurfléttur","R2","2017",0.5
"Aspicilia cinerea safnteg.","Hrúðurfléttur","R2","2020",0.5
"Aspicilia cinerea safnteg.","Hrúðurfléttur","R2","2023",0.5
"Bellemerea subsorediza","Hrúðurfléttur","R2","2014",0.5
"Bellemerea subsorediza","Hrúðurfléttur","R2","2017",0.5
"Bellemerea subsorediza","Hrúðurfléttur","R2","2020",0.5
"Bellemerea subsorediza","Hrúðurfléttur","R2","2023",0.5
"Calvitimela aglaea","Hrúðurfléttur","R2","2014",0.5
"Calvitimela aglaea","Hrúðurfléttur","R2","2017",0.5
"Calvitimela aglaea","Hrúðurfléttur","R2","2020",0.5
"Calvitimela aglaea","Hrúðurfléttur","R2","2023",0.5
"Lecanora intricata","Hrúðurfléttur","R2","2014",0.5
"Lecanora intricata","Hrúðurfléttur","R2","2017",0.5
"Lecanora intricata","Hrúðurfléttur","R2","2020",0.5
"Lecanora intricata","Hrúðurfléttur","R2","2023",0.5
"Lecanora marginata","Hrúðurfléttur","R2","2014",0.5
"Lecanora marginata","Hrúðurfléttur","R2","2017",0.5
"Lecanora marginata","Hrúðurfléttur","R2","2020",0.5
"Lecanora marginata","Hrúðurfléttur","R2","2023",0.5
"Lecanora polytropa","Hrúðurfléttur","R2","2014",0.5
"Lecanora polytropa","Hrúðurfléttur","R2","2017",0.5
"Lecanora polytropa","Hrúðurfléttur","R2","2020",0.5
"Lecanora polytropa","Hrúðurfléttur","R2","2023",0.5
"Lecidea atrobrunnea/praenubila","Hrúðurfléttur","R2","2014",0.5
"Lecidea atrobrunnea/praenubila","Hrúðurfléttur","R2","2017",0.5
"Lecidea atrobrunnea/praenubila","Hrúðurfléttur","R2","2020",0.5
"Lecidea atrobrunnea/praenubila","Hrúðurfléttur","R2","2023",0.5
"(Lecidea praenubila) Immersia athroocarpa, 2006","Hrúðurfléttur","R2","2014",0.5
"(Lecidea praenubila) Immersia athroocarpa, 2006","Hrúðurfléttur","R2","2017",0.5
"(Lecidea praenubila) Immersia athroocarpa, 2006","Hrúðurfléttur","R2","2020",0.5
"(Lecidea praenubila) Immersia athroocarpa, 2006","Hrúðurfléttur","R2","2023",0.5
"Lecidea sp.","Hrúðurfléttur","R2","2014",0.5
"Lecidea sp.","Hrúðurfléttur","R2","2017",0.5
"Lecidea sp.","Hrúðurfléttur","R2","2020",0.5
"Lecidea sp.","Hrúðurfléttur","R2","2023",0.5
"Pertusaria aspergilla","Hrúðurfléttur","R2","2014",0.5
"Pertusaria aspergilla","Hrúðurfléttur","R2","2017",0.5
"Pertusaria aspergilla","Hrúðurfléttur","R2","2020",0.5
"Pertusaria aspergilla","Hrúðurfléttur","R2","2023",0.5
"Placopsis gelida","Hrúðurfléttur","R2","2014",0.5
"Placopsis gelida","Hrúðurfléttur","R2","2017",0.5
"Placopsis gelida","Hrúðurfléttur","R2","2020",0.5
"Placopsis gelida","Hrúðurfléttur","R2","2023",0.5
"Porpidia melinodes","Hrúðurfléttur","R2","2014",0.5
"Porpidia melinodes","Hrúðurfléttur","R2","2017",0.5
"Porpidia melinodes","Hrúðurfléttur","R2","2020",0.5
"Porpidia melinodes","Hrúðurfléttur","R2","2023",0.5
"Porpidia tuberculosa","Hrúðurfléttur","R2","2014",0.5
"Porpidia tuberculosa","Hrúðurfléttur","R2","2017",0.5
"Porpidia tuberculosa","Hrúðurfléttur","R2","2020",0.5
"Porpidia tuberculosa","Hrúðurfléttur","R2","2023",0.5
"Protoparmelia badia","Hrúðurfléttur","R2","2014",0.5
"Protoparmelia badia","Hrúðurfléttur","R2","2017",0.5
"Protoparmelia badia","Hrúðurfléttur","R2","2020",0.5
"Protoparmelia badia","Hrúðurfléttur","R2","2023",0.5
"Rhizocarpon geographicum","Hrúðurfléttur","R2","2014",0.5
"Rhizocarpon geographicum","Hrúðurfléttur","R2","2017",0.5
"Rhizocarpon geographicum","Hrúðurfléttur","R2","2020",0.5
"Rhizocarpon geographicum","Hrúðurfléttur","R2","2023",0.5
"Rhizocarpon sp.","Hrúðurfléttur","R2","2014",0.5
"Rhizocarpon sp.","Hrúðurfléttur","R2","2017",0.5
"Rhizocarpon sp.","Hrúðurfléttur","R2","2020",0.5
"Rhizocarpon sp.","Hrúðurfléttur","R2","2023",0.5
"Tephromela atra","Hrúðurfléttur","R2","2014",0.5
"Tephromela atra","Hrúðurfléttur","R2","2017",0.5
"Tephromela atra","Hrúðurfléttur","R2","2020",0.5
"Tephromela atra","Hrúðurfléttur","R2","2023",0.5
"Tremolecia atrata","Hrúðurfléttur","R2","2014",0.5
"Tremolecia atrata","Hrúðurfléttur","R2","2017",0.5
"Tremolecia atrata","Hrúðurfléttur","R2","2020",0.5
"Tremolecia atrata","Hrúðurfléttur","R2","2023",0.5
"Óaðgreindar tegundir","Hrúðurfléttur","R2","2014",0.5
"Óaðgreindar tegundir","Hrúðurfléttur","R2","2017",0.5
"Óaðgreindar tegundir","Hrúðurfléttur","R2","2020",0.5
"Óaðgreindar tegundir","Hrúðurfléttur","R2","2023",0.5
"Ber klöpp","Hrúðurfléttur","R2","2014",0.5
"Ber klöpp","Hrúðurfléttur","R2","2017",0.5
"Ber klöpp","Hrúðurfléttur","R2","2020",0.5
"Ber klöpp","Hrúðurfléttur","R2","2023",0.5
"Andreaea rupestris","Mosar","R3","2014",8
"Andreaea rupestris","Mosar","R3","2017",10
"Andreaea rupestris","Mosar","R3","2020",10
"Andreaea rupestris","Mosar","R3","2023",12
"Racomitrium fasciculare","Mosar","R3","2014",0.5
"Racomitrium fasciculare","Mosar","R3","2017",0.5
"Racomitrium fasciculare","Mosar","R3","2020",0.5
"Racomitrium fasciculare","Mosar","R3","2023",0.5
"Racomitrium lanuginosum","Mosar","R3","2014",2
"Racomitrium lanuginosum","Mosar","R3","2017",2
"Racomitrium lanuginosum","Mosar","R3","2020",4
"Racomitrium lanuginosum","Mosar","R3","2023",5
"Racomitrium sudeticum","Mosar","R3","2014",1
"Racomitrium sudeticum","Mosar","R3","2017",3
"Racomitrium sudeticum","Mosar","R3","2020",4
"Racomitrium sudeticum","Mosar","R3","2023",4
"Mosi","Mosar","R3","2014",0.5
"Mosi","Mosar","R3","2017",0.5
"Mosi","Mosar","R3","2020",0.5
"Mosi","Mosar","R3","2023",1
"Cladonia borealis","Blað- og runnfléttur","R3","2014",0.5
"Cladonia borealis","Blað- og runnfléttur","R3","2017",0.5
"Cladonia borealis","Blað- og runnfléttur","R3","2020",0.5
"Cladonia borealis","Blað- og runnfléttur","R3","2023",1
"Sphaerophorus fragilis","Blað- og runnfléttur","R3","2014",0.5
"Sphaerophorus fragilis","Blað- og runnfléttur","R3","2017",0.5
"Sphaerophorus fragilis","Blað- og runnfléttur","R3","2020",0.1
