mynd 37. Þekja klettastrýs (%),,,,,,,,,,,,,,,,
species,Type,Reitur,km,1976,2006,2011,2014,2017,2020,2023,1999,Fluor,Brennisteinn,Stadur,Mynd,
Ramalina subfarinacea,Blað- og runnfléttur,R33,1.4,20,6,5,3,10,15,17,,1,1,Stekkjarás,7. mynd,
Ramalina subfarinacea,Blað- og runnfléttur,R56,2.3,,9,1,1,2,3,8,20,0,1,Akrafjall,13. mynd,
Ramalina subfarinacea,Blað- og runnfléttur,R60,2.4,,1,0.5,0.5,1,1,2,1,0,1,Akrafjall,13. mynd,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
mynd 38. Þekja snepaskófar (%) innan þynningarsvæðis,,,,,,,,,,,,,,,,
species,Type,Reitur,km,1976,1997,2006,2011,2014,2017,2020,2023,1999,Fluor,Brennisteinn,Stadur,Mynd
Parmelia saxatilis,Blað- og runnfléttur,R11,1.9,,,,1,1,,0.5,2,,1,1,Selás,11. mynd
Parmelia saxatilis,Blað- og runnfléttur,R33,1.4,40,10,13,19,26,50,53,50,,1,1,Stekkjarás,7. mynd
Parmelia saxatilis,Blað- og runnfléttur,R34,1.5,,,,,,0.5,,,,1,1,Stekkjarás,7. mynd
Parmelia saxatilis,Blað- og runnfléttur,R56,2.3,,,4,3,4,4,8,7,2,0,1,Akrafjall,13. mynd
Parmelia saxatilis,Blað- og runnfléttur,R60,2.4,,,25,6,4,6,7,9,70,0,1,Akrafjall,13. mynd
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
mynd 39. Þekja snepaskófar (%) utan þynningarsvæðis,,,,,,,,,,,,,,,,
species,Type,Reitur,km,1976,1997,2006,2011,2014,2017,2020,2023,1999,Fluor,Brennisteinn,Stadur,Mynd
Parmelia saxatilis,Blað- og runnfléttur,R12,2,12,3,5,9,6,1,0.5,0.5,,0,0,Bjarnarholt,24. mynd
Parmelia saxatilis,Blað- og runnfléttur,R13,2,1,,,0.5,0.5,,,,,0,0,Bjarnarholt,24. mynd
Parmelia saxatilis,Blað- og runnfléttur,R14,2,0.5,1,2,1,,,,,,0,0,Bjarnarholt,24. mynd
Parmelia saxatilis,Blað- og runnfléttur,R16,8.7,1,7,10,9,8,6,10,9,,0,0,Tíðaskarð,31. mynd
Parmelia saxatilis,Blað- og runnfléttur,R21,20.9,1,5,8,7,10,11,7,10,,0,0,Hvalfjarðarbotn,36. mynd
Parmelia saxatilis,Blað- og runnfléttur,R30,3.2,7,10,13,7,2,,,,,0,0,Álfholt,26. mynd
Parmelia saxatilis,Blað- og runnfléttur,R32,3.2,35,2,,,,,,,,0,0,Álfholt,26. mynd
Parmelia saxatilis,Blað- og runnfléttur,R37,3,50,25,25,0.5,,,,,,0,0,Kalmansá,20. mynd
Parmelia saxatilis,Blað- og runnfléttur,R42,16.1,1,1,1,0.5,1,0.5,0.5,1,,0,0,Hafnarbæli,34. mynd
Parmelia saxatilis,Blað- og runnfléttur,R44,16.1,20,10,10,6,4,6,2,5,,0,0,Hafnarbæli,34. mynd
Parmelia saxatilis,Blað- og runnfléttur,R45,17.3,,,,,,0.5,0.5,1,,0,0,Þyrilsnes,35. mynd
Parmelia saxatilis,Blað- og runnfléttur,R47,17.3,1,1,5,5,5,6,5,9,,0,0,Þyrilsnes,35. mynd
Parmelia saxatilis,Blað- og runnfléttur,R48,8.1,22,28,30,27,30,42,50,38,,0,0,Hvammsnes,29. mynd
Parmelia saxatilis,Blað- og runnfléttur,R49,8.1,,,,,,,,1,,0,0,Hvammsnes,29. mynd
Parmelia saxatilis,Blað- og runnfléttur,R51,3.9,5,12,16,13,6,6,5,,,0,0,Ofan Hvalfjarðareyrar,28. mynd
Parmelia saxatilis,Blað- og runnfléttur,R52,3.9,,0.5,0.5,,0.5,1,0.5,2,,0,0,Ofan Hvalfjarðareyrar,28. mynd
Parmelia saxatilis,Blað- og runnfléttur,R64,3.2,,,,,,2,1,1,,0,0,Kalastaðakot,21. mynd
Parmelia saxatilis,Blað- og runnfléttur,R67,5,,,,,20,22,23,33,,0,0,Miðfellsmúli,22. mynd
Parmelia saxatilis,Blað- og runnfléttur,R69,5,,,,,12,13,16,14,,0,0,Gimbrapallar,32. mynd
Parmelia saxatilis,Blað- og runnfléttur,R70,5,,,,,1,8,4,3,,0,0,Gimbrapallar,32. mynd
Parmelia saxatilis,Blað- og runnfléttur,R72,4,,,,,5,3,2,2,,0,0,Ofan við Gröf,16. mynd
Parmelia saxatilis,Blað- og runnfléttur,R73,4,,,,,8,8,10,14,,0,0,Ofan við Gröf,16. mynd
